V1,V2
"Pound, Ezra",Covington & Burling
"Pound, Ezra","Cowley, Malcolm"
"Pound, Ezra","Cowley, William H."
"Pound, Ezra","Cox, Arthur"
"Pound, Ezra","Creeley, Robert"
"Pound, Ezra","Creekmore, Hubert"
"Pound, Ezra","Crescini, Vincenzo"
"Pound, Ezra","Crisula, Leandro"
"Pound, Ezra","Critchfield & Company, advertising"
"Pound, Ezra",Criterion
"Pound, Ezra","Croft, Diana"
"Pound, Ezra","Croft, Henry Page"
"Pound, Ezra","Crompton, Yorke"
"Pound, Ezra","Crosby, Caresse"
"Pound, Ezra","Cross, Mary Moore"
"Pound, Ezra","Cross, Wilbur"
"Pound, Ezra","Crowder, Henry"
"Pound, Ezra","Cullen, Countee"
"Pound, Ezra","Cullis, Michael F."
"Pound, Ezra","Cummings, E. E."
"Pound, Ezra","Cummings, Marion"
"Pound, Ezra","Cunard, Emerald Maud Alice Burke, Lady"
"Pound, Ezra","Cunard, Nancy"
"Pound, Ezra","Cunard, Nancy"
"Pound, Ezra","Cunningham, Lulu"
"Pound, Ezra","Cunninghame, Graham R. B. (Robert Bontine)"
"Pound, Ezra",Current Controversy
"Pound, Ezra","Currier, Everett Raymonde"
"Pound, Ezra","Curtis Brown, Ltd."
"Pound, Ezra","Cushard, William G."
"Pound, Ezra","Cutting, Bronson Murray"
"Pound, Ezra","Dadone, Ugo"
"Pound, Ezra","Dagilaitis, John"
"Pound, Ezra","Dahlberg, Edward"
"Pound, Ezra","Daiches, David"
"Pound, Ezra",Daily Telegraph
"Pound, Ezra",The Daily Worker
"Pound, Ezra","Daladier, Edouard"
"Pound, Ezra","Dalmon, Charles William"
"Pound, Ezra","d'Althan, Nino"
"Pound, Ezra","Dalton, Hugh & Ruth"
"Pound, Ezra","Damrosch, Walter"
"Pound, Ezra","Darantière, Maurice"
"Pound, Ezra",Dartmouth College Library
"Pound, Ezra","Das, Prafulla Chandra"
"Pound, Ezra","Davenport, Guy"
"Pound, Ezra","Davidson, Eugene"
"Pound, Ezra","Davie, Donald"
"Pound, Ezra","Davies, Ingrid"
"Pound, Ezra","Davies, Ingrid"
"Pound, Ezra","Davies, Langdon"
"Pound, Ezra","Davies, Richard"
"Pound, Ezra","Davis, Edward"
"Pound, Ezra","Davray, Henry D."
"Pound, Ezra","Dana, Richard H."
"Pound, Ezra","Darantiere, Maurice"
"Pound, Ezra","Day, James"
"Pound, Ezra","Dazzi, Manilo Torquato"
"Pound, Ezra","De Angelis, Vittorio"
"Pound, Ezra","De Barbieri, Vittorio"
"Pound, Ezra","De Bosis, Lauro"
"Pound, Ezra","de Courten, Maria Luisa Giartosio"
"Pound, Ezra",Defenders of the American Constitution
"Pound, Ezra","de Feo, Luciano"
"Pound, Ezra",De Giglio
"Pound, Ezra","degli Uberti, Ricardo"
"Pound, Ezra","degli Uberti, Ubaldo"
"Pound, Ezra","de Gramont, Sanche"
"Pound, Ezra","de Janosi, Carlotte Engel"
"Pound, Ezra","De Kruif, Paul Henry"
"Pound, Ezra","Delaisi, Francis"
"Pound, Ezra","De La Mare, Richard"
"Pound, Ezra","De la Mare, Walter"
"Pound, Ezra","Delcroix, Carlo"
"Pound, Ezra","Dell, Floyd"
"Pound, Ezra","Delmer, Frederic Sefton"
"Pound, Ezra","De Paoli, Domenico"
"Pound, Ezra","Del Pelopardi, Marcella"
"Pound, Ezra",Delphian Society (Chicago)
"Pound, Ezra","Del Valle, Pedro Augusto"
"Pound, Ezra","Demetz, Peter"
"Pound, Ezra","de Peverelli, Bruno"
"Pound, Ezra","Desmond Harmsworth, Ltd."
"Pound, Ezra","de Stefano, G."
"Pound, Ezra","Deutsch, Babette"
"Pound, Ezra","Devereaux, Nora"
"Pound, Ezra","Devlin, Fr. Vianney M."
"Pound, Ezra","De Voto, Bernard"
"Pound, Ezra","Dewey, Davis Rich"
"Pound, Ezra","Dewey, John"
"Pound, Ezra","Dewey, Thomas E."
"Pound, Ezra",The Dial
"Pound, Ezra",Dialoghi
"Pound, Ezra","Diamond, David"
"Pound, Ezra","Dickey, James"
"Pound, Ezra","Diehl, Charles"
"Pound, Ezra","Dillon, George"
"Pound, Ezra","Di Marzio, Cornelio"
"Pound, Ezra",Direction
"Pound, Ezra","Dismorr, Jessica"
"Pound, Ezra","Dixon, Vladimir"
"Pound, Ezra","Dobbins, Elsa"
"Pound, Ezra","Dobree, Bonamy"
"Pound, Ezra","Dodson, Daniel"
"Pound, Ezra","Dodsworth, Edmondo"
"Pound, Ezra","Dolmetsch, Arnold"
"Pound, Ezra","Dolmetsch, Carl Richard"
"Pound, Ezra","Domvile, Barry, Sir"
"Pound, Ezra","Donaldson, Norman"
"Pound, Ezra","Dondo, Mathurin Marius"
"Pound, Ezra","Donini, Filippo"
"Pound, Ezra","Donnelly, Leo Charles"
"Pound, Ezra","Doolittle, Hilda"
"Pound, Ezra","Dorfman, Saul"
"Pound, Ezra","Dorfner, Alois"
"Pound, Ezra","Douglas, Alfred Bruce, Lord"
"Pound, Ezra","Douglas, Clifford Hugh"
"Pound, Ezra","Dowling, Lyle"
"Pound, Ezra","Doyle, Fr. James"
"Pound, Ezra",Drama League of America
"Pound, Ezra","Drinkwater, Francis Harold"
"Pound, Ezra","Drummond, John"
"Pound, Ezra","Duboin, [Jacques]"
"Pound, Ezra","Duchamp, Marcel"
"Pound, Ezra","Dudek, Louis"
"Pound, Ezra","Duff, Charles"
"Pound, Ezra","Dukes, Ashley"
"Pound, Ezra","Dulac, Edmund"
"Pound, Ezra","Duncan, Ethel"
"Pound, Ezra","Duncan, Robert Edward"
"Pound, Ezra","Duncan, Ronald Frederick Henry"
"Pound, Ezra","Dunn, James Taylor"
"Pound, Ezra","Dunn, William Gordon"
"Pound, Ezra","Dunning, Ralph Cheever"
"Pound, Ezra","Durrell, Lawrence"
"Pound, Ezra","Dyer, Louise"
"Pound, Ezra","Dyson, William Henry"
"Pound, Ezra","Earp, Frank Russell"
"Pound, Ezra",East & West
"Pound, Ezra","Eastman, Max"
"Pound, Ezra","Eaton, Charles Edward"
"Pound, Ezra","Eberhart, Richard"
"Pound, Ezra",Economic Forum
"Pound, Ezra",Échanges (Paris)
"Pound, Ezra","Ede, Harold Stanley"
"Pound, Ezra",Ediciones Guadarrama
"Pound, Ezra","Edwards, A. C."
"Pound, Ezra","Edwards, Arthur Trystan"
"Pound, Ezra",Edwards Brothers
"Pound, Ezra","Edwards, John B."
"Pound, Ezra","Edwards, John Hamilton"
"Pound, Ezra","Einstein, Albert"
"Pound, Ezra","Einstein, Carl"
"Pound, Ezra","Ellerman, Winifred"
"Pound, Ezra","Eliot, T. S."
"Pound, Ezra","Eliot, Valerie"
"Pound, Ezra","Eliot, Vivien Haigh-Wood"
"Pound, Ezra","Elizondo, Jose"
"Pound, Ezra","Ellis, Dorothy"
"Pound, Ezra","Elston, J."
"Pound, Ezra","Elwell-Sutton, Albert Sigismund"
"Pound, Ezra","Emery, Clark"
"Pound, Ezra","Emery, George L."
"Pound, Ezra","Engel, Carl"
"Pound, Ezra","England, Robert D."
"Pound, Ezra",English Association
"Pound, Ezra",English Journal
"Pound, Ezra",English Review
"Pound, Ezra","Epstein, Jacob, Sir"
"Pound, Ezra","Erskine, John"
"Pound, Ezra","Espey, John Jenkins"
"Pound, Ezra",Esquire; the Magazine for Men
"Pound, Ezra","Evans, David"
"Pound, Ezra","Evans, Thomas Horace"
"Pound, Ezra","Examiner (Bethlehem, Ct.)"
"Pound, Ezra",The Exile
"Pound, Ezra","Ezekiel, Mordecai"
"Pound, Ezra",Faber and Faber
"Pound, Ezra","Fack, Hugo"
"Pound, Ezra","Fairly, Paul A."
"Pound, Ezra","Falqui, Enrico"
"Pound, Ezra","Fang, Achilles"
"Pound, Ezra","Fang, Chih-t'ung"
"Pound, Ezra","Fanning, Peter"
"Pound, Ezra","Farinacci, Roberto"
"Pound, Ezra","Farrar, John"
"Pound, Ezra",Farrar & Rinehart
"Pound, Ezra","Farrell, James T."
"Pound, Ezra",Fascist Quarterly
"Pound, Ezra","Fassin, Gustave"
"Pound, Ezra","Faulkner, William"
"Pound, Ezra","Favilla, Vikki"
"Pound, Ezra","Fedele, Pietro"
"Pound, Ezra","Federici, Nino Guerzoni"
"Pound, Ezra","Feick, Mather"
"Pound, Ezra","Fenollosa, Mary McNeil"
"Pound, Ezra","Ferlinghetti, Lawrence"
"Pound, Ezra","Ferrari, Gustave"
"Pound, Ezra","Ferry, Frederick C."
"Pound, Ezra",Le Figaro Litteraire
"Pound, Ezra",Filippani-Ronconi family
"Pound, Ezra",The Financial News (London)
"Pound, Ezra","Finger, Charles Joseph"
"Pound, Ezra","Fischer, Walther L."
"Pound, Ezra","Fisher, Dorothy Canfield"
"Pound, Ezra","Fisher, Irving"
"Pound, Ezra",Fisk University
"Pound, Ezra","Fitts, Dudley"
"Pound, Ezra","Fitzgerald, Desmond"
"Pound, Ezra","Fitzgerald, Edward"
"Pound, Ezra","Fitzgerald, James P."
"Pound, Ezra","Fitzgerald, Robert"
"Pound, Ezra","Fitzgerald, William"
"Pound, Ezra","Fjelde, Rolf"
"Pound, Ezra","Fleming, Rudd"
"Pound, Ezra","Fleming, William"
"Pound, Ezra","Fletcher, Ifan Kyrle"
"Pound, Ezra","Fletcher, J. B."
"Pound, Ezra","Fletcher, John Gould"
"Pound, Ezra","Flint, Frank Stewart"
"Pound, Ezra","Fogler, Sigmund"
"Pound, Ezra","Fonte Basso, Alfonso Carlo"
"Pound, Ezra","Ford, Charles Henri"
"Pound, Ezra","Ford, Ford Madox"
"Pound, Ezra","Ford, Janice Biala"
"Pound, Ezra","Ford, Henry"
"Pound, Ezra","Fordham, Montague"
"Pound, Ezra","Forlin, Corrado"
"Pound, Ezra",Forschungsinstitut Fur Kultur- morphologie
"Pound, Ezra","Forssell, Lars"
"Pound, Ezra",The Fortnightly Review
"Pound, Ezra",Forum (New York)
"Pound, Ezra","Foster, Harvey N."
"Pound, Ezra","Foster, Jeanne Robert Oliver"
"Pound, Ezra",Four Pages
"Pound, Ezra",Four Winds Press
"Pound, Ezra","Fowler, Alfred, Mrs."
"Pound, Ezra","Fowler, Elaine W."
"Pound, Ezra","Fox, Douglas Claughton"
"Pound, Ezra","Fraenkel, Michael"
"Pound, Ezra","Frampton, Hollis"
"Pound, Ezra","Franchetti, Luigino"
"Pound, Ezra","Frank, Hans"
"Pound, Ezra","Franklin, Albert Barnes"
"Pound, Ezra","Franklin, Harold"
"Pound, Ezra","Frazier, Sen. L. J."
"Pound, Ezra",Free Speech & Assembly Bulletin
"Pound, Ezra","French, Gloria"
"Pound, Ezra","French, William"
"Pound, Ezra","Friart, L."
"Pound, Ezra",Friends of National Spain
"Pound, Ezra",Frobenius-Institut an der Johann Wolfgang Goethe-Universitat
"Pound, Ezra",Front
"Pound, Ezra","Frost, Robert"
"Pound, Ezra","Frost, Ruth Sterling"
"Pound, Ezra","Fry, Varian"
"Pound, Ezra","Fuller, John Frederick Charles"
"Pound, Ezra","Fumagalli, Guiseppina"
"Pound, Ezra",Funk and Wagnalls
"Pound, Ezra",Furioso (New Haven)
"Pound, Ezra","Furniss, Robert M."
"Pound, Ezra",G.K.'s Weekly
"Pound, Ezra","Gadfly (Cambridge, Mass.)"
"Pound, Ezra","Gale, Susan"
"Pound, Ezra",Galleria del Milione (Milan)
"Pound, Ezra","Gallippi, Alberto"
"Pound, Ezra","Gallup, Donald Clifford"
"Pound, Ezra","Galton, Arthur"
"Pound, Ezra","Gambetti, Fidia"
"Pound, Ezra","Gannett, Frank Ernest"
"Pound, Ezra","Garcia Terres, Jaime"
"Pound, Ezra","Gardner, John"
"Pound, Ezra","Garibaldi, Fercinando"
"Pound, Ezra","Gario, Gino"
"Pound, Ezra","Garrett, Alice"
"Pound, Ezra","Garzanti, Aldo, Editore"
"Pound, Ezra","Gaspard-Michel, Raymonde"
"Pound, Ezra","Gatter, Carl"
"Pound, Ezra","Gatter, Elsie"
"Pound, Ezra","Gaudier-Brzeska, Henri"
"Pound, Ezra","Gauss, Christian"
"Pound, Ezra","Gauthier-Villars, Henry"
"Pound, Ezra",Gazzetta del Popolo
"Pound, Ezra","Gazzo, Emanuel"
"Pound, Ezra","Gellert, Laurence"
"Pound, Ezra",Genova (Genoa): municipal government
"Pound, Ezra","Genthe, Arnold"
"Pound, Ezra","Gerhardt, Rainer M."
"Pound, Ezra","Gerhardt, Renate"
"Pound, Ezra",Germany and You (Berlin)
"Pound, Ezra","Gerstley, Margaret Leona"
"Pound, Ezra","Gertler, Eudre"
"Pound, Ezra","Ghiringhelli, Peppino"
"Pound, Ezra","Ghose, Kali Mohon"
"Pound, Ezra","Giannone, Richard J."
"Pound, Ezra","Gibelli, Giuseppe"
"Pound, Ezra","Gibson, Arthur Leslie"
"Pound, Ezra","Gilbert, Jack"
"Pound, Ezra","Gillhoff, Gerd Aage"
"Pound, Ezra","Gilling, Smith G. D."
"Pound, Ezra","Gilson, Etienne"
"Pound, Ezra","Gingrich, Arnold"
"Pound, Ezra",Giornale di Genova (Genova)
"Pound, Ezra","Giovanelli, Felix Bruno"
"Pound, Ezra","Giovannini, Giovanni"
"Pound, Ezra","Giuffrida, F."
"Pound, Ezra",The Globe (Minneapolis-St. Paul)
"Pound, Ezra","Glover, Etta"
"Pound, Ezra","Glover, Halcott"
"Pound, Ezra","Goacher, Denis"
"Pound, Ezra","Goedel, Carl"
"Pound, Ezra","Gold, Mike"
"Pound, Ezra",Golden Eagle Press
"Pound, Ezra","Golding, Louis"
"Pound, Ezra","Goldsborough, T. Alan"
"Pound, Ezra","Golejinski, Honor"
"Pound, Ezra","Gosse, Edmund William, Sir"
"Pound, Ezra","Gordon, David"
"Pound, Ezra","Gordon, Lewis Hall"
"Pound, Ezra","[Gore-Booth, Eva]"
"Pound, Ezra","Gorman, Herbert Sherman"
"Pound, Ezra",Gotham Book Mart (New York)
"Pound, Ezra","Goulart, Peter"
"Pound, Ezra","Gould, Frederick James"
"Pound, Ezra","Gould, Joe"
"Pound, Ezra","Gourmont, Jean de"
"Pound, Ezra","Grab, Frederick"
"Pound, Ezra","Grainger-Kerr, M. E. [""Meg""]"
"Pound, Ezra",Gran Premio Bergamo
"Pound, Ezra","Grande, Adriano [""Circoli""]"
"Pound, Ezra","Graves, John D."
"Pound, Ezra","Gray, Edmund"
"Pound, Ezra","Gray, Edward P."
"Pound, Ezra","Gray, Finly H."
"Pound, Ezra","Gray, Woods"
"Pound, Ezra","Greacen, Patricia"
"Pound, Ezra","Green, Gretchen"
"Pound, Ezra",Green Shirts of England
"Pound, Ezra",Greenwich Time
"Pound, Ezra","Gregory, Augusta, Lady"
"Pound, Ezra","Gregory, Horace"
"Pound, Ezra","Grieve, Christopher Murray"
"Pound, Ezra",Grolier Book Shop
"Pound, Ezra","Gruber, A., M.D."
"Pound, Ezra","Gruesen, John Joseph"
"Pound, Ezra","Grut, Mario"
"Pound, Ezra","Guandi, Ugo"
"Pound, Ezra",The Guardian
"Pound, Ezra","Guenther, Charles"
"Pound, Ezra","Guidi, Guido"
"Pound, Ezra","Gun, Nerin E."
"Pound, Ezra","Guzzo, Augusto"
"Pound, Ezra",H.D. (Hilda Doolittle)
"Pound, Ezra",Hague & Gill Ltd.
"Pound, Ezra","Hall, Donald"
"Pound, Ezra","Halmos, Laszlo"
"Pound, Ezra","Hambleton, Ronald"
"Pound, Ezra",Hamilton College
"Pound, Ezra","Hamilton, Edith"
"Pound, Ezra","Hammarskjöld, Dag"
"Pound, Ezra","Hammer, Jeanne-Ruth"
"Pound, Ezra","Hammond, Douglas"
"Pound, Ezra","Hammond, Featherstone"
"Pound, Ezra","Hand, Claudius"
"Pound, Ezra","Harald, Michael"
"Pound, Ezra","Harcourt, Brace and Company (New York)"
"Pound, Ezra","Hardie, Martin"
"Pound, Ezra","Harding, E. A. F. (British Broadcasting Corp.)"
"Pound, Ezra","Harding, E. A. F."
"Pound, Ezra",(British Broadcasting Corp.)
"Pound, Ezra","Hardy, Thomas"
"Pound, Ezra","Hare, Betty"
"Pound, Ezra","Hargrave, John"
"Pound, Ezra","Harmsworth, Desmond"
"Pound, Ezra","Harper, Allanah"
"Pound, Ezra","Harper, Elizabeth W."
"Pound, Ezra","Harper & Brothers, publishers"
"Pound, Ezra","Harrell, Mary Ann"
"Pound, Ezra","Harriman, Karl"
"Pound, Ezra","Harris, R. A."
"Pound, Ezra",Hartford Conservatory of Music
"Pound, Ezra","Hartley, George"
"Pound, Ezra","Hartmann, Sadakichi"
"Pound, Ezra",The Harvard Advocate
"Pound, Ezra",The Harvard Crimson
"Pound, Ezra",Harvard University
"Pound, Ezra",Harvard University Press
"Pound, Ezra","Hatfield, W. Wilbur"
"Pound, Ezra","Haughey, Marguerite"
"Pound, Ezra","Hauptmann, Gerhart"
"Pound, Ezra","Hawk, Harold W."
"Pound, Ezra","Hawkins, A. Desmond"
"Pound, Ezra","Hawley, Charles A."
"Pound, Ezra","Hawley, William"
"Pound, Ezra","Hayes, Gerald"
"Pound, Ezra","Hayes, Ildiko"
"Pound, Ezra","Head, Roy"
"Pound, Ezra","Heald, Louise"
"Pound, Ezra","Heap, Jane"
"Pound, Ezra","Hemingway, Ernest"
"Pound, Ezra","Henderson, Alice Corbin"
"Pound, Ezra","Henderson, Wynifred (Hours Press)"
"Pound, Ezra","Henghes, H."
"Pound, Ezra","Henry, L. Vaughan"
"Pound, Ezra","Herbiet, Georges"
"Pound, Ezra","Herlitschka, Herberth"
"Pound, Ezra","Hersh, Virginia"
"Pound, Ezra","Hersey, Harold Brainerd"
"Pound, Ezra","Herter, Christian"
"Pound, Ezra","Hess, Guido"
"Pound, Ezra","Hesse, Eva"
"Pound, Ezra","Hewlett, Maurice Henry"
"Pound, Ezra","Heyman, Katherine Ruth"
"Pound, Ezra","Hickok, Guy"
"Pound, Ezra","Hield, Robert"
"Pound, Ezra","Hightower, Robert"
"Pound, Ezra","Hika (Kenyon College, Gambier, Ohio)"
"Pound, Ezra","Hiler, Hilare"
"Pound, Ezra","Hill, George Francis"
"Pound, Ezra","Hill, Paul A."
"Pound, Ezra","Hirsch, Charlotte"
"Pound, Ezra","Hobday, Robert"
"Pound, Ezra","Hoehn, Matthew"
"Pound, Ezra","Hoff, ""Grandma"""
"Pound, Ezra","Hoffman, H. R."
"Pound, Ezra","Hoffmann, Rolf"
"Pound, Ezra",Holborn Publishing Co. Ltd.
"Pound, Ezra","Holbrooke, Josef Charles"
"Pound, Ezra","Hollis, Christopher"
"Pound, Ezra","Holmes, T. V."
"Pound, Ezra","Holroyd-Reece, John (Albatross Press)"
"Pound, Ezra","Hone, Joseph Maunsell"
"Pound, Ezra","Hone, Vera"
"Pound, Ezra","Hoover, Herbert"
"Pound, Ezra","Hoover, Norman R."
"Pound, Ezra",Hopwood poetry contests: 1st series
"Pound, Ezra","Horton, T. David"
"Pound, Ezra","Horton, Thomas T."
"Pound, Ezra",Houghton Mifflin & Co.
"Pound, Ezra",The Hound & Horn
"Pound, Ezra",Hours Press
"Pound, Ezra","House of El Dieff, Inc."
"Pound, Ezra","Howe, Marvine"
"Pound, Ezra","Howell, Douglas Morse"
"Pound, Ezra","Howell, Mary"
"Pound, Ezra","Huddleston, Sisley"
"Pound, Ezra","Hudson, William Henry"
"Pound, Ezra",The Hudson Review
"Pound, Ezra","Hughes, Glenn"
"Pound, Ezra","Hughes, Langston"
"Pound, Ezra","Hughes, Rupert"
"Pound, Ezra","Hull, Cordell"
"Pound, Ezra","Hull, William"
"Pound, Ezra","Hunt, John G."
"Pound, Ezra","Hunt, Violet"
"Pound, Ezra","Husain, Itrat"
"Pound, Ezra","Hutchings, C. M."
"Pound, Ezra","Hutchins, Patricia"
"Pound, Ezra","Hutchison, Graham Seton"
"Pound, Ezra","Hyatt, Miles"
"Pound, Ezra","Hynes, Gladys "
"Pound, Ezra","Also stored in: Oversize, Box 235, folders 1-2"
"Pound, Ezra","Hynes, Samuel Lynn"
"Pound, Ezra","Ibbotson, Joseph D."
"Pound, Ezra","Ickes, Harold"
"Pound, Ezra","Idlet, John"
"Pound, Ezra",Imagi; mid-century American poetry
"Pound, Ezra","Imperiali, D. (Marchesa)"
"Pound, Ezra",Independent (London)
"Pound, Ezra","Indian Museum (Calcutta, India)"
"Pound, Ezra",L'Indice (Genoa)
"Pound, Ezra","Inge, William"
"Pound, Ezra",Inland Review
"Pound, Ezra",International Association of University Professors of English
"Pound, Ezra",International Pocket Library Corp.
"Pound, Ezra",Intradestal i Svenska Akademien
"Pound, Ezra",Ireland. Dail Eireann
"Pound, Ezra","Iris, Scharmel"
"Pound, Ezra",The Irish Times (Dublin)
"Pound, Ezra",Isakssson. Folke
"Pound, Ezra",L'Italia Nostra (London)
"Pound, Ezra","Italian Embassy, London"
"Pound, Ezra","Ito, Michio"
"Pound, Ezra",Itrat-Husain
"Pound, Ezra","Ivancich, Gianfranco"
"Pound, Ezra","Iwasaki, Ryozo"
"Pound, Ezra","Izzo, Carlo"
"Pound, Ezra","Jacobs, Sidney A. (Golden Eagle Press)"
"Pound, Ezra","James, Fleming Henry"
"Pound, Ezra","James, Henry"
"Pound, Ezra","Jammers, Ewald"
"Pound, Ezra","Jankowski, Stanislaw"
"Pound, Ezra","Jankowski, Stefanie"
"Pound, Ezra",Japan Times & Mail (Tokyo)
"Pound, Ezra","Jenks, Jorian E. F."
"Pound, Ezra","Jepson, Edgar"
"Pound, Ezra","Jerrold, Douglas"
"Pound, Ezra","Jeuck, William N."
"Pound, Ezra",John Bull (London)
"Pound, Ezra",John Simon Guggenheim Memorial Foundation
"Pound, Ezra","Johns, Orrick"
"Pound, Ezra","Johns, Richard"
"Pound, Ezra","Johnson, Hewlett"
"Pound, Ezra","Johnson, Hiram"
"Pound, Ezra","Johnson, Reid"
"Pound, Ezra","Johnston, Tom"
"Pound, Ezra","Jonathan Cape, Ltd."
"Pound, Ezra","Jones, Owen"
"Pound, Ezra","Jones, Tom"
"Pound, Ezra","Jordan, David Starr"
"Pound, Ezra","Jordan, R. C."
"Pound, Ezra","Jordan, Viola"
"Pound, Ezra","Jordan, Viola"
"Pound, Ezra",La Journal des Poetes (Brussels)
"Pound, Ezra","Joyce, James"
"Pound, Ezra","Joyce, James [miscellaneous papers]"
"Pound, Ezra","Joyce, Lucia"
"Pound, Ezra","Joyce, Stanislaus"
"Pound, Ezra","Joyce, William"
"Pound, Ezra",Juilliard Foundation or School of Music
"Pound, Ezra","Just, Ward"
"Pound, Ezra","Kahn, Otto Hermann"
"Pound, Ezra","KART Radio (Hailey, Idaho)"
"Pound, Ezra","Kasper, John"
"Pound, Ezra","Kast, Ludwig"
"Pound, Ezra","Kavanagh, Patrick"
"Pound, Ezra","Kearns, George"
"Pound, Ezra","Kearton, [?]"
"Pound, Ezra","Keedick, Lee"
"Pound, Ezra","Kenner, Hugh"
"Pound, Ezra","Kenway, Phillip T."
"Pound, Ezra","Keogh, Joseph"
"Pound, Ezra","Kerr, Gordon"
"Pound, Ezra","Kerr, M. E. Grainger"
"Pound, Ezra","Kettner, Frederick"
"Pound, Ezra","Keynes, John Maynard"
"Pound, Ezra","Kimball, Dexter"
"Pound, Ezra","Kimball, Dudley"
"Pound, Ezra","King, Alexander"
"Pound, Ezra","Kingwood Review (Salem, Ore.)"
"Pound, Ezra","Kirstein, Lincoln"
"Pound, Ezra","Kitasono, Katue"
"Pound, Ezra","Kitson, Arthur"
"Pound, Ezra","Kizer, Benjamin Hamilton"
"Pound, Ezra","Knocker, E. H."
"Pound, Ezra","Knoll, Robert E."
"Pound, Ezra","Knopf, Alfred A., Inc. (New York)"
"Pound, Ezra","Koch, P. M. (Four Winds Press)"
"Pound, Ezra","Kodama, Sanehide"
"Pound, Ezra","Komroff, Manuel"
"Pound, Ezra","Konody, Paul George"
"Pound, Ezra","Kostetzky, Eaghor G."
"Pound, Ezra","Koteliansky, Samuel Solomonovitch"
"Pound, Ezra","Koume, Tami"
"Pound, Ezra","Kremwitz-Buckton, Harry"
"Pound, Ezra","Krim, Seymour"
"Pound, Ezra","Kripalani, Krishna"
"Pound, Ezra","Kwock, C. R."
"Pound, Ezra","Labroca, Mario"
"Pound, Ezra","LaDriere, James Craig"
"Pound, Ezra","Lady, Lee"
"Pound, Ezra","La Follette, Suzanne"
"Pound, Ezra","La Guardia, Fiorello"
"Pound, Ezra","Laidlaw and Butchart, Ltd."
"Pound, Ezra",Laidlaw & Laidlaw
"Pound, Ezra","Lambart, Alfred"
"Pound, Ezra","Lamont, Corliss"
"Pound, Ezra","Lampman, Rex"
"Pound, Ezra","Landini, Richard"
"Pound, Ezra","Lane, Allen"
"Pound, Ezra","Lane, John (Bodley Head Ltd.)"
"Pound, Ezra","Lang, Cosmo Gordon"
"Pound, Ezra","Langer, William"
"Pound, Ezra","Lansbury, [?]"
"Pound, Ezra","Lanza, Lorenzo Ercole"
"Pound, Ezra","Larkin, James Crate"
"Pound, Ezra","Larranaga, Pedro Juan Manuel"
"Pound, Ezra","Larsson, Raymond Edward Francis"
"Pound, Ezra","Lathrop, Henry Burrows"
"Pound, Ezra","Latimer, Ronald Lane"
"Pound, Ezra",Latin Quarterly
"Pound, Ezra","Laughlin, James"
"Pound, Ezra","Laughlin, James"
"Pound, Ezra",Il Lavoro (Genoa)
"Pound, Ezra","Law, Hugh Alexander"
"Pound, Ezra","Lawrence, Seymour"
"Pound, Ezra","Lawrence, T. E."
"Pound, Ezra",League of American Writers
"Pound, Ezra","Leary, Lewis Gaston"
"Pound, Ezra","Leavis, Frank"
"Pound, Ezra","Lebeck, Anne"
"Pound, Ezra","LeBeck, Morton"
"Pound, Ezra","Le Cardonnel, Georges"
"Pound, Ezra","Lee, Cuthbert"
"Pound, Ezra","Leese, A. S."
"Pound, Ezra",The Left Review
"Pound, Ezra","Léger, Fernand"
"Pound, Ezra","Leigh, W. Colston"
"Pound, Ezra","Leippert, James G."
"Pound, Ezra","Lekakis, Michael"
"Pound, Ezra","Lemke, William"
"Pound, Ezra","Lenberg, Lore"
"Pound, Ezra","Leona, Margaret"
"Pound, Ezra","Leslie, Shane"
"Pound, Ezra","Levi, Giorgio"
"Pound, Ezra","LeWinter, Oswald"
"Pound, Ezra","Lewis, Joanna"
"Pound, Ezra","Lewis, Joseph"
"Pound, Ezra","Lewis, Norman"
"Pound, Ezra","Lewis, Wyndham"
"Pound, Ezra","Lewisohn, Ludwig"
"Pound, Ezra","Leyden, Frank"
"Pound, Ezra","Libero, Libero de"
"Pound, Ezra",Libro e moschetto
"Pound, Ezra","Lienhard, John H."
"Pound, Ezra",Life
"Pound, Ezra","Lilienfeld, [?]"
"Pound, Ezra","Limpus, Lowell M."
"Pound, Ezra","Linati, Carlo"
"Pound, Ezra","Lind, Levi Robert"
"Pound, Ezra","Lindsay, Elizabeth"
"Pound, Ezra","Lindsay, Vachel"
"Pound, Ezra","Listen, A Review of Poetry and Eroticism"
"Pound, Ezra",The Listener
"Pound, Ezra",The Literary Digest
"Pound, Ezra",The Little Magazine
"Pound, Ezra",The Little Man
"Pound, Ezra",The Little Review
"Pound, Ezra","Littlefield, Lester"
"Pound, Ezra","Liuzzi, Fernando"
"Pound, Ezra","Liveright, Horace, Inc."
"Pound, Ezra",The Living Age
"Pound, Ezra",The Living Theatre
"Pound, Ezra","Logue, Christopher"
"Pound, Ezra","Long, Breckinridge"
"Pound, Ezra","Long, Huey"
"Pound, Ezra","Longanesi, Leo"
"Pound, Ezra","Longmans, Green & Co."
"Pound, Ezra","Loomis, Charles Battell"
"Pound, Ezra","Lorenzatos, Zesimos"
"Pound, Ezra","Lorimer, George Horace"
"Pound, Ezra","Lovibond, Pamela"
"Pound, Ezra","Lowe, Elias Avery"
"Pound, Ezra","Lowell, Robert"
